pair,contact_times
device4<->device75,4
device1<->device64,3
device72<->device91,3
device29<->device67,3
device14<->device40,3
device21<->device3,3
device62<->device82,3
device62<->device80,3
device67<->device86,3
device36<->device88,3
device0<->device92,3
device21<->device39,3
device29<->device65,3
device2<->device25,3
device76<->device93,3
device43<->device68,3
device52<->device87,3
device47<->device69,3
device16<->device18,3
device70<->device81,3
device35<->device67,3
device12<->device42,3
device22<->device27,3
device11<->device72,3
device31<->device47,3
device83<->device93,3
device55<->device86,3
device36<->device38,3
device31<->device33,3
device62<->device63,3
device40<->device76,3
device54<->device81,3
device52<->device77,3
device2<->device3,3
device83<->device86,3
device71<->device9,3
device14<->device29,3
device14<->device84,3
device38<->device87,3
device57<->device88,3
device15<->device83,2
device16<->device63,2
device16<->device42,2
device56<->device94,2
device47<->device73,2
device95<->device98,2
device82<->device86,2
device7<->device99,2
device56<->device90,2
device54<->device83,2
device62<->device81,2
device52<->device62,2
device21<->device6,2
device37<->device40,2
device35<->device96,2
device14<->device86,2
device79<->device85,2
device79<->device97,2
device12<->device85,2
device68<->device84,2
device13<->device17,2
device42<->device77,2
device0<->device60,2
device13<->device86,2
device35<->device88,2
device7<->device90,2
device12<->device60,2
device2<->device69,2
device2<->device5,2
device24<->device80,2
device35<->device60,2
device55<->device62,2
device21<->device75,2
device44<->device5,2
device76<->device8,2
device18<->device92,2
device58<->device87,2
device15<->device30,2
device14<->device76,2
device34<->device55,2
device42<->device54,2
device82<->device99,2
device51<->device65,2
device43<->device62,2
device72<->device78,2
device49<->device74,2
device52<->device89,2
device1<->device61,2
device82<->device88,2
device42<->device66,2
device10<->device52,2
device72<->device96,2
device47<->device66,2
device34<->device37,2
device22<->device91,2
device72<->device8,2
device60<->device68,2
device70<->device75,2
device44<->device6,2
device65<->device81,2
device46<->device67,2
device27<->device46,2
device16<->device50,2
device1<->device41,2
device71<->device77,2
device26<->device92,2
device31<->device74,2
device12<->device89,2
device26<->device56,2
device15<->device18,2
device18<->device39,2
device37<->device50,2
device32<->device93,2
device51<->device63,2
device3<->device77,2
device26<->device34,2
device23<->device63,2
device44<->device79,2
device37<->device67,2
device0<->device47,2
device55<->device94,2
device31<->device58,2
device53<->device8,2
device34<->device97,2
device21<->device42,2
device42<->device59,2
device14<->device47,2
device36<->device58,2
device43<->device60,2
device89<->device92,2
device70<->device79,2
device83<->device99,2
device2<->device58,2
device64<->device80,2
device18<->device49,2
device13<->device34,2
device6<->device96,2
device61<->device72,2
device86<->device9,2
device17<->device85,2
device32<->device38,2
device78<->device96,2
device34<->device8,2
device49<->device51,2
device0<->device63,2
device26<->device48,2
device24<->device59,2
device25<->device30,2
device17<->device67,2
device10<->device28,2
device18<->device9,2
device9<->device99,2
device29<->device90,2
device53<->device76,2
device42<->device87,2
device13<->device36,2
device36<->device65,2
device73<->device8,2
device21<->device54,2
device36<->device49,2
device26<->device63,2
device4<->device74,2
device74<->device95,2
device7<->device94,2
device8<->device94,2
device43<->device59,2
device41<->device69,2
device46<->device82,2
device34<->device68,2
device1<->device46,2
device27<->device72,2
device41<->device91,2
device11<->device16,2
device18<->device56,2
device13<->device75,2
device13<->device93,2
device79<->device9,2
device18<->device96,2
device56<->device65,2
device31<->device52,2
device38<->device52,2
device38<->device90,2
device15<->device76,2
device11<->device58,2
device70<->device76,2
device20<->device67,2
device11<->device84,2
device2<->device27,2
device6<->device80,2
device41<->device73,2
device48<->device65,2
device12<->device94,2
device44<->device92,2
device33<->device59,2
device20<->device59,2
device10<->device97,2
device0<->device29,2
device28<->device92,2
device47<->device49,2
device51<->device88,2
device87<->device99,2
device59<->device98,2
device54<->device76,2
device6<->device77,2
device13<->device50,2
device1<->device56,2
device16<->device36,2
device46<->device77,2
device32<->device85,2
device14<->device80,2
device48<->device54,2
device19<->device89,2
device86<->device89,2
device14<->device20,2
device24<->device65,2
device22<->device95,2
device42<->device95,2
device42<->device86,2
device53<->device56,2
device31<->device65,2
device10<->device39,2
device33<->device76,2
device64<->device92,2
device64<->device77,2
device12<->device4,2
device38<->device63,2
device4<->device60,2
device10<->device9,2
device11<->device56,2
device12<->device30,2
device44<->device98,2
device11<->device81,2
device34<->device54,2
device38<->device45,2
device10<->device66,2
device6<->device79,2
device63<->device7,2
device58<->device66,2
device62<->device85,2
device7<->device85,2
device63<->device83,2
device3<->device85,2
device3<->device81,2
device5<->device67,2
device14<->device97,2
device42<->device56,2
device24<->device52,2
device57<->device98,2
device12<->device32,2
device21<->device37,2
device61<->device9,2
device1<->device31,2
device65<->device82,2
device31<->device39,2
device58<->device74,2
device20<->device75,2
device80<->device89,2
device15<->device19,2
device8<->device95,2
device68<->device96,2
device28<->device97,2
device62<->device96,2
device24<->device49,2
device26<->device90,2
device19<->device58,2
device78<->device93,2
device29<->device55,2
device34<->device64,2
device44<->device55,2
device63<->device99,2
device21<->device27,2
device12<->device18,2
device51<->device62,2
device35<->device68,2
device0<->device78,2
device51<->device8,2
device46<->device63,2
device10<->device47,2
device16<->device71,2
device76<->device78,2
device43<->device90,2
device43<->device78,2
device28<->device76,2
device48<->device71,1
device14<->device17,1
device29<->device79,1
device58<->device82,1
device14<->device38,1
device38<->device89,1
device29<->device50,1
device77<->device85,1
device24<->device88,1
device2<->device64,1
device1<->device10,1
device11<->device14,1
device11<->device45,1
device78<->device94,1
device77<->device86,1
device53<->device80,1
device1<->device54,1
device59<->device85,1
device74<->device75,1
device13<->device40,1
device40<->device77,1
device35<->device66,1
device19<->device99,1
device1<->device93,1
device65<->device74,1
device14<->device67,1
device0<->device12,1
device49<->device98,1
device43<->device81,1
device50<->device87,1
device50<->device57,1
device28<->device90,1
device15<->device90,1
device19<->device83,1
device20<->device83,1
device57<->device81,1
device49<->device89,1
device46<->device64,1
device63<->device78,1
device26<->device9,1
device46<->device96,1
device71<->device91,1
device9<->device90,1
device26<->device33,1
device37<->device4,1
device60<->device69,1
device66<->device9,1
device16<->device65,1
device52<->device98,1
device19<->device97,1
device24<->device37,1
device60<->device79,1
device91<->device95,1
device10<->device89,1
device16<->device30,1
device24<->device25,1
device0<->device73,1
device52<->device73,1
device31<->device73,1
device36<->device39,1
device34<->device96,1
device45<->device77,1
device27<->device87,1
device1<->device75,1
device1<->device63,1
device46<->device68,1
device46<->device51,1
device30<->device53,1
device2<->device53,1
device13<->device99,1
device4<->device99,1
device2<->device96,1
device0<->device80,1
device8<->device80,1
device37<->device76,1
device36<->device75,1
device69<->device82,1
device25<->device90,1
device63<->device89,1
device36<->device9,1
device49<->device79,1
device29<->device96,1
device65<->device75,1
device31<->device90,1
device19<->device47,1
device32<->device74,1
device20<->device24,1
device20<->device22,1
device45<->device54,1
device16<->device81,1
device15<->device85,1
device13<->device5,1
device69<->device71,1
device23<->device71,1
device45<->device89,1
device53<->device62,1
device14<->device81,1
device48<->device80,1
device22<->device44,1
device50<->device61,1
device19<->device40,1
device6<->device60,1
device51<->device55,1
device46<->device55,1
device32<->device75,1
device39<->device75,1
device40<->device81,1
device48<->device67,1
device4<->device65,1
device4<->device48,1
device26<->device76,1
device18<->device68,1
device0<->device3,1
device10<->device86,1
device35<->device86,1
device15<->device29,1
device11<->device15,1
device21<->device89,1
device39<->device89,1
device29<->device66,1
device77<->device99,1
device86<->device88,1
device17<->device4,1
device42<->device57,1
device38<->device43,1
device33<->device74,1
device52<->device79,1
device2<->device88,1
device63<->device88,1
device28<->device53,1
device59<->device89,1
device1<->device92,1
device48<->device92,1
device34<->device89,1
device68<->device81,1
device37<->device70,1
device16<->device35,1
device33<->device58,1
device67<->device84,1
device48<->device56,1
device50<->device96,1
device21<->device9,1
device37<->device47,1
device12<->device26,1
device36<->device7,1
device35<->device83,1
device12<->device67,1
device61<->device67,1
device13<->device92,1
device3<->device91,1
device30<->device66,1
device89<->device99,1
device60<->device89,1
device16<->device80,1
device31<->device80,1
device31<->device92,1
device54<->device85,1
device22<->device80,1
device27<->device66,1
device66<->device87,1
device66<->device73,1
device33<->device63,1
device33<->device81,1
device39<->device77,1
device20<->device84,1
device29<->device43,1
device25<->device50,1
device32<->device82,1
device25<->device96,1
device37<->device91,1
device31<->device51,1
device54<->device93,1
device20<->device34,1
device8<->device9,1
device45<->device9,1
device28<->device63,1
device2<->device93,1
device61<->device71,1
device88<->device99,1
device19<->device25,1
device19<->device57,1
device65<->device69,1
device23<->device69,1
device42<->device9,1
device20<->device88,1
device13<->device87,1
device7<->device92,1
device23<->device68,1
device24<->device51,1
device21<->device51,1
device44<->device9,1
device31<->device60,1
device44<->device89,1
device31<->device41,1
device12<->device25,1
device49<->device57,1
device49<->device6,1
device91<->device94,1
device0<->device35,1
device56<->device92,1
device56<->device87,1
device56<->device85,1
device30<->device56,1
device36<->device61,1
device36<->device83,1
device13<->device60,1
device18<->device66,1
device17<->device60,1
device64<->device82,1
device39<->device42,1
device40<->device70,1
device40<->device54,1
device41<->device96,1
device34<->device70,1
device10<->device63,1
device14<->device64,1
device40<->device78,1
device39<->device44,1
device47<->device9,1
device5<->device88,1
device41<->device5,1
device31<->device61,1
device70<->device90,1
device38<->device59,1
device27<->device59,1
device52<->device99,1
device52<->device8,1
device52<->device81,1
device31<->device56,1
device56<->device82,1
device57<->device7,1
device20<->device7,1
device22<->device24,1
device85<->device91,1
device32<->device66,1
device8<->device89,1
device32<->device40,1
device33<->device80,1
device75<->device78,1
device16<->device49,1
device21<->device29,1
device21<->device66,1
device34<->device65,1
device2<->device65,1
device41<->device71,1
device26<->device51,1
device26<->device72,1
device30<->device49,1
device50<->device72,1
device39<->device65,1
device25<->device32,1
device81<->device83,1
device19<->device48,1
device30<->device93,1
device37<->device87,1
device48<->device90,1
device10<->device41,1
device34<->device45,1
device34<->device57,1
device39<->device57,1
device23<->device99,1
device37<->device63,1
device0<->device16,1
device47<->device94,1
device57<->device94,1
device43<->device58,1
device27<->device58,1
device75<->device90,1
device17<->device96,1
device53<->device83,1
device53<->device85,1
device21<->device44,1
device10<->device21,1
device40<->device93,1
device7<->device80,1
device68<->device73,1
device67<->device68,1
device68<->device92,1
device16<->device4,1
device4<->device78,1
device85<->device98,1
device21<->device74,1
device12<->device87,1
device12<->device39,1
device19<->device54,1
device11<->device70,1
device11<->device28,1
device45<->device60,1
device33<->device39,1
device37<->device92,1
device32<->device33,1
device87<->device98,1
device73<->device98,1
device4<->device5,1
device29<->device92,1
device34<->device67,1
device12<->device88,1
device88<->device98,1
device20<->device32,1
device32<->device77,1
device45<->device64,1
device24<->device40,1
device18<->device90,1
device33<->device93,1
device46<->device95,1
device16<->device79,1
device13<->device64,1
device13<->device56,1
device19<->device91,1
device1<->device70,1
device1<->device88,1
device25<->device48,1
device14<->device78,1
device13<->device53,1
device14<->device53,1
device68<->device94,1
device54<->device86,1
device7<->device77,1
device85<->device97,1
device74<->device81,1
device43<->device83,1
device52<->device54,1
device2<->device57,1
device2<->device83,1
device67<->device78,1
device78<->device8,1
device22<->device57,1
device56<->device91,1
device56<->device98,1
device30<->device72,1
device57<->device64,1
device64<->device97,1
device11<->device99,1
device22<->device34,1
device35<->device65,1
device30<->device76,1
device73<->device76,1
device31<->device99,1
device15<->device51,1
device63<->device93,1
device48<->device96,1
device29<->device6,1
device17<->device30,1
device30<->device96,1
device61<->device63,1
device43<->device61,1
device76<->device83,1
device23<->device30,1
device23<->device74,1
device39<->device72,1
device53<->device96,1
device32<->device44,1
device50<->device54,1
device40<->device85,1
device38<->device49,1
device30<->device9,1
device31<->device54,1
device68<->device89,1
device51<->device68,1
device35<->device37,1
device36<->device96,1
device20<->device41,1
device62<->device8,1
device8<->device92,1
device29<->device8,1
device55<->device74,1
device38<->device79,1
device82<->device87,1
device10<->device99,1
device10<->device46,1
device46<->device76,1
device40<->device58,1
device62<->device9,1
device62<->device97,1
device39<->device62,1
device42<->device74,1
device36<->device66,1
device21<->device57,1
device30<->device45,1
device50<->device66,1
device12<->device24,1
device49<->device80,1
device25<->device44,1
device58<->device89,1
device66<->device89,1
device73<->device84,1
device25<->device41,1
device34<->device46,1
device25<->device39,1
device19<->device26,1
device42<->device90,1
device16<->device85,1
device1<->device71,1
device28<->device86,1
device28<->device98,1
device28<->device93,1
device13<->device31,1
device22<->device86,1
device50<->device95,1
device57<->device58,1
device40<->device63,1
device11<->device94,1
device0<->device94,1
device43<->device88,1
device82<->device85,1
device75<->device87,1
device59<->device9,1
device28<->device70,1
device1<->device14,1
device1<->device59,1
device48<->device55,1
device72<->device84,1
device33<->device92,1
device56<->device66,1
device79<->device96,1
device45<->device58,1
device2<->device38,1
device73<->device87,1
device12<->device58,1
device29<->device94,1
device72<->device97,1
device41<->device97,1
device75<->device94,1
device1<->device85,1
device68<->device86,1
device18<->device98,1
device2<->device9,1
device33<->device73,1
device46<->device85,1
device81<->device97,1
device35<->device81,1
device50<->device84,1
device50<->device59,1
device26<->device35,1
device13<->device20,1
device13<->device49,1
device19<->device88,1
device35<->device9,1
device14<->device82,1
device14<->device57,1
device18<->device60,1
device57<->device77,1
device37<->device61,1
device11<->device20,1
device66<->device77,1
device9<->device97,1
device76<->device9,1
device19<->device95,1
device41<->device47,1
device3<->device52,1
device47<->device52,1
device4<->device87,1
device64<->device65,1
device48<->device73,1
device28<->device78,1
device27<->device55,1
device3<->device31,1
device44<->device62,1
device1<->device50,1
device10<->device49,1
device10<->device2,1
device47<->device89,1
device23<->device47,1
device72<->device98,1
device28<->device57,1
device52<->device70,1
device23<->device29,1
device93<->device97,1
device15<->device48,1
device17<->device84,1
device55<->device66,1
device22<->device3,1
device22<->device6,1
device22<->device33,1
device4<->device62,1
device4<->device56,1
device30<->device92,1
device0<->device71,1
device78<->device83,1
device55<->device98,1
device36<->device48,1
device5<->device57,1
device27<->device44,1
device12<->device76,1
device65<->device68,1
device16<->device47,1
device16<->device5,1
device41<->device89,1
device14<->device66,1
device14<->device4,1
device65<->device85,1
device55<->device65,1
device84<->device99,1
device11<->device68,1
device4<->device94,1
device1<->device94,1
device71<->device94,1
device2<->device68,1
device15<->device36,1
device0<->device66,1
device62<->device93,1
device27<->device97,1
device59<->device97,1
device10<->device68,1
device28<->device80,1
device83<->device87,1
device33<->device43,1
device67<->device88,1
device90<->device92,1
device25<->device55,1
device74<->device99,1
device61<->device68,1
device70<->device98,1
device23<->device80,1
device21<->device88,1
device16<->device78,1
device40<->device90,1
device21<->device33,1
device66<->device71,1
device37<->device97,1
device61<->device65,1
device62<->device65,1
device22<->device84,1
device11<->device50,1
device34<->device35,1
device55<->device90,1
device14<->device58,1
device38<->device73,1
device43<->device93,1
device63<->device64,1
device71<->device83,1
