pair,contact_times
device17<->device62,1
device13<->device68,1
device43<->device96,1
device13<->device65,1
device76<->device95,1
device32<->device68,1
device67<->device72,1
device55<->device76,1
device26<->device73,1
device36<->device73,1
device80<->device99,1
device15<->device99,1
device28<->device99,1
device13<->device15,1
device11<->device67,1
device88<->device93,1
device46<->device92,1
device23<->device46,1
device24<->device86,1
device63<->device90,1
device62<->device77,1
device73<->device99,1
device77<->device93,1
device1<->device30,1
device1<->device68,1
device48<->device85,1
device85<->device86,1
device2<->device49,1
device47<->device67,1
device20<->device47,1
device17<->device98,1
device17<->device59,1
device13<->device25,1
device20<->device26,1
device19<->device35,1
device60<->device64,1
device17<->device33,1
device64<->device84,1
device38<->device84,1
device49<->device84,1
device21<->device67,1
device32<->device67,1
device15<->device42,1
device17<->device90,1
device35<->device49,1
device45<->device88,1
device16<->device20,1
device48<->device7,1
device42<->device46,1
device13<->device29,1
device42<->device75,1
device64<->device91,1
device16<->device91,1
device4<->device54,1
device26<->device78,1
device79<->device90,1
device23<->device6,1
device59<->device72,1
device58<->device91,1
device16<->device58,1
device13<->device96,1
device7<->device93,1
device87<->device97,1
device40<->device62,1
device65<->device77,1
device15<->device9,1
device29<->device91,1
device33<->device7,1
device26<->device57,1
device10<->device67,1
device34<->device85,1
device4<->device69,1
device4<->device96,1
device23<->device4,1
device42<->device51,1
device16<->device51,1
device2<->device76,1
device26<->device47,1
device38<->device78,1
device0<->device33,1
device70<->device71,1
device63<->device85,1
device25<->device9,1
device21<->device26,1
device29<->device30,1
device11<->device80,1
device32<->device47,1
device12<->device74,1
device43<->device63,1
device77<->device90,1
device50<->device98,1
device76<->device94,1
device32<->device61,1
device17<->device66,1
device21<->device32,1
device5<->device91,1
device25<->device5,1
device5<->device7,1
device17<->device35,1
device16<->device39,1
device15<->device33,1
device29<->device80,1
device81<->device85,1
device43<->device69,1
device19<->device6,1
device69<->device78,1
device2<->device8,1
device50<->device85,1
device62<->device69,1
device12<->device62,1
device1<->device29,1
device29<->device32,1
device54<->device91,1
device61<->device81,1
device4<->device7,1
device37<->device79,1
device13<->device2,1
device5<->device50,1
device40<->device91,1
device51<->device53,1
device22<->device51,1
device83<->device89,1
device29<->device53,1
device1<->device53,1
device22<->device99,1
device22<->device97,1
device22<->device25,1
device30<->device88,1
device42<->device88,1
device58<->device84,1
device38<->device58,1
device38<->device99,1
device0<->device44,1
device34<->device90,1
device18<->device25,1
device14<->device18,1
device18<->device54,1
device14<->device87,1
device30<->device94,1
device80<->device94,1
device40<->device49,1
device28<->device89,1
device79<->device98,1
device61<->device70,1
device79<->device86,1
device55<->device77,1
device41<->device66,1
device13<->device43,1
device10<->device43,1
device26<->device43,1
device24<->device43,1
device3<->device35,1
device1<->device62,1
device40<->device41,1
device17<->device34,1
device17<->device79,1
device26<->device98,1
device15<->device97,1
device1<->device79,1
device28<->device75,1
device31<->device85,1
device39<->device90,1
device39<->device41,1
device71<->device80,1
device34<->device63,1
device77<->device78,1
device92<->device96,1
device40<->device9,1
device87<->device9,1
device42<->device99,1
device75<->device99,1
device21<->device99,1
device60<->device87,1
device26<->device27,1
device11<->device59,1
device36<->device59,1
device59<->device66,1
device47<->device96,1
device5<->device66,1
device29<->device71,1
device6<->device71,1
device6<->device73,1
device2<->device35,1
device20<->device86,1
device50<->device89,1
device72<->device74,1
device10<->device65,1
device20<->device70,1
device54<->device70,1
device46<->device7,1
device4<->device67,1
device2<->device95,1
device2<->device54,1
device76<->device84,1
device71<->device84,1
device19<->device30,1
device11<->device90,1
device0<->device2,1
device15<->device5,1
device70<->device96,1
device22<->device37,1
device37<->device54,1
device10<->device75,1
device39<->device9,1
device49<->device62,1
device95<->device97,1
device30<->device87,1
device30<->device73,1
device30<->device33,1
device30<->device78,1
device22<->device60,1
device28<->device56,1
device28<->device68,1
device73<->device92,1
device73<->device74,1
device7<->device73,1
device33<->device45,1
device74<->device78,1
device30<->device46,1
device47<->device51,1
device45<->device47,1
device24<->device50,1
device13<->device24,1
device54<->device64,1
device7<->device81,1
device20<->device58,1
device63<->device86,1
device34<->device41,1
device64<->device83,1
device28<->device83,1
device18<->device41,1
device7<->device84,1
device24<->device8,1
device21<->device90,1
device14<->device8,1
device48<->device8,1
device48<->device57,1
device73<->device88,1
device10<->device82,1
device12<->device82,1
device41<->device82,1
device33<->device95,1
device47<->device88,1
device13<->device44,1
device1<->device16,1
device36<->device94,1
device2<->device94,1
device63<->device94,1
device4<->device97,1
device12<->device43,1
device57<->device76,1
device12<->device64,1
device40<->device64,1
device39<->device58,1
device1<->device72,1
device60<->device80,1
device39<->device60,1
device38<->device61,1
device33<->device98,1
device3<->device69,1
device25<->device72,1
device8<->device97,1
device6<->device65,1
device42<->device85,1
device75<->device96,1
device14<->device59,1
device12<->device23,1
device12<->device21,1
device30<->device83,1
device44<->device46,1
device77<->device91,1
device40<->device73,1
device1<->device20,1
device50<->device51,1
device51<->device95,1
device37<->device45,1
device3<->device59,1
device12<->device6,1
device0<->device68,1
device33<->device77,1
device39<->device88,1
device55<->device88,1
device21<->device94,1
device42<->device44,1
device16<->device8,1
device27<->device95,1
device69<->device77,1
device17<->device3,1
device52<->device97,1
device48<->device53,1
device24<->device48,1
device77<->device82,1
device44<->device82,1
device35<->device89,1
device22<->device77,1
device40<->device52,1
device10<->device57,1
device26<->device59,1
device24<->device31,1
device1<->device43,1
device30<->device43,1
device21<->device45,1
device23<->device51,1
device23<->device87,1
device26<->device41,1
device61<->device87,1
device16<->device40,1
device66<->device93,1
device34<->device81,1
device27<->device37,1
device72<->device92,1
device12<->device86,1
device18<->device33,1
device18<->device72,1
device17<->device52,1
device17<->device71,1
device44<->device75,1
device41<->device9,1
device43<->device82,1
device36<->device92,1
device28<->device30,1
device44<->device66,1
device44<->device90,1
device28<->device29,1
device44<->device80,1
device16<->device95,1
device59<->device88,1
device4<->device73,1
device19<->device70,1
device85<->device89,1
device34<->device88,1
device50<->device78,1
device7<->device78,1
device33<->device75,1
device75<->device8,1
device18<->device36,1
device6<->device61,1
device2<->device42,1
device18<->device38,1
device67<->device80,1
device57<->device62,1
device16<->device45,1
device21<->device77,1
device15<->device52,1
device42<->device53,1
device6<->device68,1
device10<->device92,1
device47<->device59,1
device46<->device74,1
device17<->device80,1
device48<->device50,1
device64<->device78,1
device20<->device64,1
device30<->device65,1
device41<->device43,1
device25<->device35,1
device14<->device22,1
device75<->device93,1
device82<->device93,1
device81<->device82,1
device22<->device8,1
device22<->device67,1
device19<->device8,1
device43<->device45,1
device4<->device93,1
device21<->device53,1
device53<->device6,1
device3<->device53,1
device28<->device52,1
device5<->device54,1
device54<->device87,1
device57<->device65,1
device57<->device86,1
device90<->device94,1
device37<->device93,1
device23<->device93,1
device45<->device93,1
device1<->device28,1
device16<->device83,1
device37<->device49,1
device36<->device84,1
device38<->device67,1
device41<->device98,1
device19<->device79,1
device17<->device19,1
device28<->device71,1
device10<->device94,1
device19<->device42,1
device4<->device91,1
device14<->device93,1
device15<->device24,1
device21<->device38,1
device21<->device22,1
device1<->device84,1
device13<->device26,1
device31<->device46,1
device10<->device31,1
device14<->device31,1
device46<->device87,1
device50<->device83,1
device63<->device75,1
device42<->device71,1
device39<->device63,1
device4<->device63,1
device40<->device56,1
device15<->device61,1
device62<->device94,1
device15<->device27,1
device27<->device83,1
device27<->device93,1
device1<->device2,1
device2<->device51,1
device61<->device75,1
device27<->device73,1
device52<->device95,1
device28<->device44,1
device36<->device37,1
device32<->device49,1
device32<->device48,1
device26<->device32,1
device23<->device32,1
device73<->device82,1
device49<->device71,1
device49<->device97,1
device4<->device51,1
device24<->device34,1
device51<->device96,1
device10<->device16,1
device30<->device69,1
device81<->device9,1
device12<->device2,1
device1<->device49,1
device91<->device97,1
device79<->device89,1
device57<->device73,1
device3<->device41,1
device30<->device58,1
device39<->device69,1
device39<->device66,1
device39<->device61,1
device39<->device64,1
device39<->device48,1
device28<->device43,1
device28<->device33,1
device26<->device28,1
device28<->device31,1
device44<->device71,1
device4<->device57,1
device12<->device57,1
device25<->device47,1
device47<->device63,1
device54<->device94,1
device19<->device3,1
device73<->device96,1
device38<->device96,1
device93<->device96,1
device38<->device85,1
device10<->device37,1
device64<->device71,1
device6<->device78,1
device87<->device92,1
device24<->device82,1
device36<->device82,1
device55<->device83,1
device31<->device38,1
device22<->device61,1
device15<->device63,1
device29<->device86,1
device80<->device86,1
device26<->device75,1
device27<->device78,1
device97<->device99,1
device42<->device93,1
device64<->device93,1
device26<->device93,1
device20<->device62,1
device24<->device27,1
device51<->device98,1
device0<->device98,1
device12<->device37,1
device58<->device68,1
device35<->device48,1
device20<->device57,1
device62<->device66,1
device70<->device95,1
device83<->device95,1
device31<->device72,1
device49<->device72,1
device11<->device48,1
device11<->device47,1
device11<->device53,1
device4<->device42,1
device4<->device79,1
device71<->device81,1
device13<->device30,1
device3<->device60,1
device39<->device94,1
device17<->device32,1
device33<->device64,1
device3<->device33,1
device47<->device50,1
device2<->device34,1
device48<->device88,1
device66<->device70,1
device56<->device60,1
device60<->device74,1
device60<->device82,1
device33<->device60,1
device10<->device91,1
device31<->device8,1
device90<->device91,1
device8<->device90,1
device16<->device46,1
device80<->device98,1
device4<->device76,1
device51<->device91,1
device84<->device93,1
device17<->device72,1
device3<->device97,1
device3<->device50,1
device22<->device28,1
device52<->device69,1
device40<->device50,1
device97<->device98,1
device31<->device63,1
device67<->device96,1
device26<->device5,1
device69<->device92,1
device14<->device70,1
device12<->device65,1
device75<->device91,1
device46<->device75,1
device20<->device90,1
device47<->device95,1
device35<->device58,1
device35<->device84,1
device35<->device8,1
device35<->device74,1
device41<->device45,1
device10<->device17,1
device1<->device96,1
device13<->device81,1
device50<->device73,1
device56<->device63,1
device32<->device51,1
device51<->device71,1
device19<->device53,1
device42<->device97,1
device71<->device95,1
device42<->device67,1
device67<->device97,1
device26<->device61,1
device11<->device55,1
device56<->device71,1
device53<->device71,1
device24<->device71,1
device11<->device6,1
device25<->device8,1
device17<->device95,1
device17<->device87,1
device45<->device96,1
device45<->device75,1
device32<->device55,1
device12<->device19,1
device12<->device8,1
device32<->device97,1
device11<->device93,1
device49<->device75,1
device50<->device80,1
device20<->device80,1
device45<->device56,1
device55<->device72,1
device19<->device74,1
device65<->device97,1
device27<->device45,1
device38<->device82,1
device51<->device86,1
device94<->device95,1
device85<->device94,1
device6<->device88,1
device65<->device8,1
device65<->device98,1
device55<->device70,1
device25<->device53,1
device22<->device79,1
device22<->device54,1
device63<->device9,1
device60<->device90,1
device60<->device71,1
device48<->device60,1
device44<->device45,1
device44<->device59,1
device8<->device99,1
device15<->device67,1
device7<->device9,1
device17<->device49,1
device18<->device48,1
device37<->device48,1
device74<->device97,1
device52<->device72,1
device24<->device57,1
device7<->device98,1
device44<->device67,1
device26<->device94,1
device30<->device31,1
device25<->device46,1
device18<->device67,1
device42<->device98,1
device75<->device81,1
device27<->device99,1
device90<->device99,1
device71<->device99,1
device38<->device95,1
device23<->device57,1
device79<->device94,1
device15<->device91,1
device15<->device17,1
device32<->device90,1
device24<->device77,1
device49<->device52,1
device32<->device58,1
device1<->device32,1
device32<->device98,1
device36<->device63,1
device6<->device76,1
device84<->device90,1
device15<->device22,1
device50<->device94,1
device0<->device95,1
device0<->device41,1
device0<->device50,1
device12<->device33,1
device21<->device8,1
device46<->device65,1
device20<->device77,1
device10<->device3,1
device86<->device92,1
device35<->device63,1
device24<->device68,1
device17<->device55,1
device11<->device40,1
device71<->device79,1
device48<->device84,1
device18<->device62,1
device67<->device7,1
device7<->device70,1
device55<->device7,1
device42<->device78,1
device21<->device83,1
device14<->device16,1
device16<->device7,1
device11<->device31,1
device12<->device72,1
device2<->device40,1
device26<->device66,1
device68<->device93,1
device61<->device80,1
device3<->device61,1
device10<->device61,1
device11<->device46,1
device43<->device46,1
device14<->device72,1
device53<->device92,1
device20<->device92,1
device15<->device74,1
device0<->device62,1
device76<->device79,1
device47<->device79,1
device60<->device95,1
device7<->device82,1
device11<->device7,1
device35<->device44,1
device49<->device58,1
device63<->device95,1
device42<->device80,1
device59<->device96,1
device78<->device82,1
device22<->device72,1
device50<->device8,1
device51<->device81,1
device29<->device9,1
device18<->device51,1
device51<->device74,1
device45<->device51,1
device46<->device86,1
device15<->device77,1
device52<->device67,1
device33<->device85,1
device47<->device84,1
device43<->device56,1
device27<->device48,1
device6<->device66,1
device14<->device49,1
device5<->device84,1
device45<->device61,1
device28<->device69,1
device46<->device66,1
device13<->device55,1
device35<->device59,1
device35<->device97,1
device15<->device50,1
device58<->device59,1
device76<->device98,1
device84<->device94,1
device3<->device94,1
device59<->device94,1
device31<->device69,1
device36<->device87,1
device36<->device55,1
device24<->device92,1
device74<->device92,1
device34<->device74,1
device29<->device33,1
device38<->device60,1
device3<->device57,1
device19<->device75,1
device4<->device58,1
device19<->device4,1
device4<->device92,1
device59<->device93,1
device30<->device35,1
device43<->device75,1
device9<->device95,1
device32<->device81,1
device32<->device34,1
device32<->device87,1
device27<->device90,1
device38<->device97,1
device1<->device73,1
device5<->device72,1
device75<->device92,1
device75<->device76,1
device60<->device7,1
device61<->device7,1
device2<->device85,1
device69<->device94,1
device28<->device5,1
device60<->device99,1
device60<->device83,1
device82<->device90,1
device6<->device82,1
device6<->device74,1
device2<->device41,1
device32<->device94,1
device79<->device83,1
device63<->device71,1
device38<->device88,1
device73<->device79,1
device1<->device76,1
device23<->device44,1
device84<->device97,1
device25<->device84,1
device63<->device69,1
device5<->device65,1
device22<->device65,1
device0<->device34,1
device31<->device36,1
device10<->device87,1
device2<->device79,1
device25<->device56,1
device29<->device45,1
device18<->device95,1
device74<->device94,1
device18<->device74,1
device13<->device63,1
device38<->device65,1
device19<->device21,1
device11<->device24,1
device18<->device91,1
device30<->device81,1
device31<->device64,1
device3<->device58,1
device25<->device65,1
device14<->device75,1
device3<->device92,1
device59<->device8,1
device30<->device75,1
device21<->device7,1
device21<->device95,1
device3<->device40,1
device46<->device59,1
device32<->device95,1
device20<->device95,1
device61<->device66,1
device67<->device94,1
device42<->device45,1
device59<->device71,1
device69<->device81,1
device81<->device94,1
device18<->device28,1
device62<->device86,1
device4<->device86,1
device0<->device38,1
device0<->device79,1
device5<->device6,1
device55<->device9,1
device28<->device55,1
device19<->device33,1
device33<->device99,1
device21<->device65,1
device29<->device97,1
device22<->device49,1
device20<->device68,1
device26<->device39,1
device35<->device55,1
device14<->device35,1
device59<->device77,1
device37<->device77,1
device31<->device77,1
device16<->device87,1
device51<->device61,1
device28<->device4,1
device48<->device86,1
device82<->device89,1
device25<->device89,1
device1<->device11,1